text,label
"URGENT: Your account has been compromised. Click here immediately to verify your identity before your account is permanently locked.",1
"Dear Customer, we detected unusual activity on your account. Please verify your information within 24 hours or your account will be suspended.",1
"Congratulations! You've won a $1,000,000 lottery prize. Click the link below to claim your winnings now before it expires.",1
"ALERT: Your PayPal account has been limited. Please update your payment information immediately to restore full access.",1
"Dear user, your Apple ID was used to sign in from an unknown device. If this wasn't you, click here to secure your account.",1
"You have a pending refund of $500.00 from the IRS. Click here to verify your bank details and receive your tax refund.",1
"IMPORTANT: Your Netflix subscription payment failed. Update your billing information now to avoid service interruption.",1
"Dear valued customer, your Amazon order has been suspended due to a billing issue. Verify your payment method here.",1
"SECURITY ALERT: Someone tried to access your Microsoft account from Russia. Click here to change your password immediately.",1
"Your bank account has been frozen due to suspicious activity. Please call this number immediately to verify your identity.",1
"ATTENTION: Your FedEx package cannot be delivered. Pay the shipping fee of $2.99 to reschedule delivery.",1
"Dear member, your account will be permanently closed in 48 hours unless you verify your personal information by clicking this link.",1
"You have inherited $5,000,000 from a distant relative. Please provide your bank details to receive the funds transfer.",1
"WARNING: Your computer has been infected with a virus. Call our support team immediately at 1-800-FAKE to remove it.",1
"Dear Customer, we need you to confirm your identity. Please reply with your Social Security number and date of birth.",1
"ACT NOW: Limited time offer! Transfer $500 to receive $5000 in return. This investment opportunity expires today!",1
"Your DHL shipment is on hold. Click here to pay customs fees and release your package for delivery.",1
"URGENT: Your email account storage is full. Click here to upgrade your storage immediately or lose all your emails.",1
"Dear user, your account password expires today. Click the link below to update your password and avoid losing access.",1
"Congratulations! You've been selected as winner of our weekly prize draw. Claim your $10,000 gift card now!",1
"NOTICE: We detected unauthorized login attempts on your account. Verify your credentials immediately to prevent data breach.",1
"Your credit card ending in 4521 has been charged $999.99. If you did not authorize this transaction, click here immediately.",1
"Dear valued member, verify your account now to receive your cashback reward of $250. This offer expires in 2 hours.",1
"IMPORTANT SECURITY UPDATE: Your online banking session has expired. Please re-enter your login credentials by clicking below.",1
"Hello user, we noticed your account was accessed from a new location. Confirm it was you or your account will be locked.",1
"FREE iPhone 15 Pro! You have been randomly selected. Click here to claim your prize before the offer expires!",1
"ALERT: Your social media account has been reported. Verify your identity within 24 hours to prevent account deletion.",1
"Dear customer, your subscription auto-renewal failed. Update your payment details here to continue your service.",1
"URGENT NOTICE: Your tax return has been flagged for review. Click here immediately to provide additional documentation.",1
"WARNING: Unauthorized wire transfer detected on your account for $15,000. Click here to cancel the transaction now.",1
"Your Walmart account has been locked due to too many failed login attempts. Click here to verify and unlock your account.",1
"Dear user, you have a voicemail from your bank. Click here to listen to the important message about your account.",1
"LIMITED OFFER: Earn $10,000 per week working from home! No experience needed. Sign up before all positions are filled.",1
"SECURITY ALERT: Your antivirus license has expired. Renew now to protect your data from hackers and malware threats.",1
"Dear member, we are updating our records. Please click the link and confirm your personal and financial information.",1
"CONGRATULATIONS: You qualify for a student loan forgiveness program. Click here to submit your application today!",1
"Your Google Drive storage is 99% full. Click here to get 50GB free storage upgrade before your files are deleted.",1
"IMPORTANT: Your insurance claim has been approved for $3,500. Click here to provide your banking details for deposit.",1
"Dear customer, your package delivery requires signature confirmation. Click here to schedule a redelivery time slot.",1
"ALERT: Multiple failed login attempts detected. For your security, verify your identity by clicking the link below.",1
"Your utility bill payment of $543.21 is overdue. Pay immediately by clicking here to avoid service disconnection.",1
"URGENT: Your driver's license renewal application is incomplete. Click here to submit missing documents now.",1
"Dear user, earn 500 bonus loyalty points by verifying your account information. This exclusive offer ends tonight!",1
"WARNING: Your cloud backup will be permanently deleted in 24 hours. Click here to extend your storage subscription.",1
"NOTICE: Your recent transaction at Walmart for $1,299.00 is pending verification. Confirm or dispute by clicking here.",1
"Dear applicant, your job application has been selected! Submit your personal details and a $50 processing fee to proceed.",1
"SYSTEM ALERT: Your router firmware is outdated and vulnerable. Click here to download the critical security update now.",1
"Hello, your password was changed successfully. If you did not make this change, click here immediately to secure your account.",1
"EXCLUSIVE: Pre-approved personal loan of $25,000 at 0% interest. Click here to accept before the offer expires.",1
"Dear customer, your flight booking confirmation requires additional verification. Click here to complete your check-in.",1
"Urgent: your account verify needed. Click link bellow to confirm you identity and prevent suspenion of services.",1
"ATENTION: You're Apple ID has been lock. Too many fail login attempt detected. Click hear to unlck your acount.",1
"Dear Costumer, we notice unusal activty on you're Netflix acount. Plese click bellow to verifiy your informaton.",1
"IMPORTENT: Your PayPall account have been limitied. Click here to retsore full acces to your acount emmediatly.",1
"Congradulations! You have been sellected for a $50,000 prize! Click the link bellow to clame your reward now!",1
"Your Amazon acccount has been temporarly suspened. Pleese verify you're indentity by clicking the link bellow.",1
"URGNET: We detectd a suspicous login attemp on your acount from an unknwon device. Act now to secue your account.",1
"Dear Valued Custmer, your bank acount will be permanantly closd if you dont verify your detials within 24 hrs.",1
"WARNNING: Unauthroized access to your Micrsoft account detectd. Click here to chnage your passowrd emmediately.",1
"Your packge from DHL is on holdd. Pay $1.99 shiping fee to recieve your deilvery. Click here to pay now.",1
"Hi John, just wanted to confirm our meeting tomorrow at 3 PM in the conference room. Let me know if that works.",0
"Hey Sarah, I finished reviewing the quarterly report. I've attached my comments. Can you take a look when you get a chance?",0
"Good morning team, here's the agenda for today's standup meeting. Please review before we start at 10 AM.",0
"Hi there! Thank you for your order #12345. Your package has been shipped and will arrive by Thursday.",0
"Dear applicant, we are pleased to inform you that your application has been received. We will review it within 5 business days.",0
"Hey Mike, wanted to share the photos from the team outing last Friday. Hope you had as much fun as I did!",0
"Hello, this is a reminder about your dentist appointment scheduled for March 5th at 2:30 PM. Please arrive 15 minutes early.",0
"Hi Mom, just checking in to see how you're doing. The kids loved the birthday presents you sent. Thank you so much!",0
"Dear student, your course registration for Spring 2024 has been confirmed. Your classes start on January 15th.",0
"Hey team, the client loved our proposal! They want to schedule a follow-up call next week. Great work everyone.",0
"Hi David, I noticed you left your jacket at the restaurant last night. I saved it for you. Let me know when you want to pick it up.",0
"Good afternoon, your library books are due for return on February 28th. You can renew them online or visit the library.",0
"Hey Alex, are we still on for the basketball game this Saturday? I got the tickets. Meeting point is at Gate 7.",0
"Dear patient, your lab test results are ready. Please login to your patient portal or visit our office to discuss them.",0
"Hi, thank you for contacting our customer support. Your ticket #8901 has been created. A representative will respond within 2 hours.",0
"Hey Lisa, I found that recipe you were asking about. It's the one from the Italian cookbook we both loved.",0
"Dear homeowner, your property tax statement for 2024 is now available online. Login to your county portal to view and download.",0
"Hi everyone, just a heads up that the office will be closed on Monday for the holiday. Enjoy the long weekend!",0
"Hello, your monthly bank statement for January 2024 is now available in your online banking portal.",0
"Hey Rachel, thanks for helping me move last weekend. I really appreciate it. Let me buy you dinner as a thank you!",0
"Dear subscriber, your monthly newsletter from TechCrunch is here. Check out this month's top stories and industry insights.",0
"Hi Tom, the plumber confirmed he'll be at your house between 9-11 AM tomorrow. He'll call when he's on his way.",0
"Good morning, here's your daily weather update: Sunny with a high of 72°F. Perfect day for outdoor activities!",0
"Hey team, I submitted the expense report for our last business trip. Please check if all the receipts look correct.",0
"Dear volunteer, thank you for signing up for the community cleanup event this Saturday. Please meet at Central Park at 9 AM.",0
"Hi Jennifer, I just saw your post about the new hiking trail. I'd love to join you next time! When are you planning to go again?",0
"Hello, your auto insurance policy has been renewed for the next 6 months. Your coverage details are attached.",0
"Hey Chris, the team voted and we're going with Italian food for the office party. Can you help with decorations?",0
"Dear parent, this is a reminder that parent-teacher conferences are next Thursday from 4-8 PM. Sign up for a time slot online.",0
"Hi, your order from the bakery is ready for pickup! Double chocolate cake and a dozen croissants as requested.",0
"Good morning, your car is ready to be picked up from the mechanic. Oil change and tire rotation are complete. Total: $89.50.",0
"Hey Amanda, I found a great deal on flights to Hawaii for our vacation. Should I go ahead and book for April?",0
"Dear member, your gym membership has been renewed. Your next billing date is March 1st. See you at the gym!",0
"Hi there, thank you for your feedback on our product. We've forwarded your suggestions to our development team.",0
"Hey Daniel, great news! The project proposal was approved by the board. We can start implementation next Monday.",0
"Hello, your prescription is ready for pickup at the pharmacy. Please bring your insurance card when you come in.",0
"Hi team, just pushed the latest code changes to the development branch. Please review the pull request when you have time.",0
"Dear guest, thank you for staying at our hotel. We hope you enjoyed your visit. Please rate your experience online.",0
"Hey Mark, the soccer practice schedule has been updated. New time is Tuesday and Thursday at 5 PM instead of 4 PM.",0
"Good afternoon, your package has been delivered to your front porch. Thank you for shopping with us!",0
"Hi Emily, I'm running about 10 minutes late for our lunch date. Traffic is bad on the highway. See you soon!",0
"Dear reader, your annual magazine subscription renewal is coming up next month. No action needed as it will auto-renew.",0
"Hey Kevin, wanted to let you know that the company picnic is this weekend at Riverside Park. Bring your family!",0
"Hello, this is your 6-month dental checkup reminder. Your next visit is scheduled for February 15th at 10 AM.",0
"Hi, I wanted to thank you for the wonderful birthday gift! The watch is beautiful and I love it. You're so thoughtful.",0
"Dear customer, your furniture delivery is scheduled for next Wednesday between 1-4 PM. Someone must be home to sign.",0
"Hey Sam, the book club is reading 'Project Hail Mary' this month. Let me know if you need a copy!",0
"Good morning, your weekly grocery order from Fresh Market is being prepared and will be ready for pickup by noon.",0
"Hi there, just a friendly reminder that your car registration expires next month. You can renew it online.",0
"Dear colleague, the lunch seminar on machine learning in healthcare is this Friday at noon. Pizza will be provided!",0
"Hey Maria, the garden center has a sale on spring flowers this weekend. Want to go pick some out together?",0
"Hello, your plane ticket reservation has been confirmed. Flight AA123 departs at 8:45 AM on March 10th. Gate B22.",0
"Hi team, the office kitchen is getting renovated next week. Please use the break room on the second floor instead.",0
"Dear student, your final exam grades have been posted. Check your student portal for your course results.",0
"Hey Brian, I left some leftover lasagna in the fridge for you. Just heat it up for about 3 minutes in the microwave.",0
"Good evening, your Amazon order #78901 has shipped. Estimated delivery is Friday. Track your package using the link.",0
"Hi neighbor, just wanted to let you know that we'll be having a small gathering this Saturday evening. You're welcome to join!",0
"Dear customer, thank you for your recent purchase. Your receipt and warranty information are attached to this email.",0
"Hey Laura, the yoga class has been moved to Studio B this week due to maintenance in the main room. Same time.",0
"Hello, your water bill for this quarter is $45.67. Payment is due by March 15th. You can pay online or by mail.",0
"Hi, wanted to follow up on our conversation yesterday. I think we should go with Option B for the project timeline.",0
"Dear member, new books have been added to the library collection this week. Visit our catalog to see what's new!",0
"Hey team, I created a shared Google Doc for our brainstorming session. Please add your ideas before our meeting.",0
"Good morning, your dry cleaning is ready for pickup. 3 shirts, 1 suit, and 1 dress as dropped off on Monday.",0
"Hi Robert, just confirming our tee time for Sunday at 7:30 AM. I'll bring the golf cart reservation confirmation.",0
"Hello, your pet's annual vaccination appointment is due next month. Please call us to schedule a convenient time.",0
"Dear participant, thank you for completing our survey. Your responses will help us improve our services.",0
"Hey Nicole, I saw the cutest puppy at the shelter today! You should go check them out if you're still looking to adopt.",0
"Hi there, your monthly investment statement is available. Your portfolio grew by 3.2% this quarter. Great performance!",0
"Good afternoon, just a reminder that recycling pickup is tomorrow morning. Please have your bins out by 7 AM.",0
"Dear user, your software license has been activated. You can download the latest version from your account dashboard.",0
"Hey James, the camping trip is still a go for next weekend! I'll bring the tent and cooking gear. You bring the food.",0
"Hi, your child's school picture day is next Tuesday. Please send them in their best outfit. Order forms are attached.",0
"Hello, thank you for your charitable donation of $100 to the Red Cross. Your tax receipt is attached to this email.",0
"Hey everyone, the office coffee machine is finally fixed! No more vending machine coffee. Rejoice!",0
"Dear patient, your specialist referral appointment has been scheduled for March 3rd at Dr. Smith's office.",0
"Hi Angela, the painting class starts next Wednesday at the community center. Don't forget to bring your own brushes!",0
"Good morning, your monthly Spotify bill of $9.99 has been processed. Thank you for being a premium member.",0
"Hey team, friendly reminder to submit your timesheets by end of day Friday. Late submissions delay payroll processing.",0
"Dear resident, our annual community meeting is scheduled for March 10th at 7 PM in the clubhouse. All are welcome.",0
"Hi, your airline miles statement shows you have 45,230 points. That's enough for a domestic round trip. Happy travels!",0
"Hello, your car wash subscription has been renewed for another month. Enjoy unlimited washes at any of our locations!",0
"Hey Paul, dinner was amazing last night. Thanks for introducing me to that new Thai restaurant. We should go again!",0
"Dear applicant, your background check has been completed. Please contact HR to proceed with the onboarding process.",0
"Hi, the kids loved the science fair project we worked on together. They got second place! Thanks for your help.",0
"Good evening, tonight's PTA meeting agenda includes discussion of the school budget and upcoming field trips.",0
"Hey Stephen, the concert tickets are sold out but I got us spots on the waitlist. Fingers crossed we get in!",0
"Hello, your home internet service maintenance is scheduled for tonight between 2-4 AM. Brief interruptions may occur.",0
"Dear customer, your eyeglasses are ready for pickup. We're open Monday through Saturday, 9 AM to 6 PM.",0
"Hi team, the quarterly review presentation deck is in the shared drive. Please add your department's slides by Wednesday.",0
"Hey Diana, the farmer's market opens this weekend for the spring season! Want to go Saturday morning?",0
"Good morning, your flight has been delayed by 30 minutes due to weather. New departure time is 9:15 AM.",0
"Hi, thank you for volunteering at the food bank yesterday. Your help made a big difference. We served over 200 families!",0
"Dear student, your scholarship application has been received. Award decisions will be announced by April 15th.",0
"Hey Oscar, just finished assembling the bookshelf from IKEA. It only took 4 hours instead of the estimated 2. Ha!",0
"Buy Viagra online now! No prescription needed. Best prices guaranteed.",2
"You have been pre-approved for a ,000 personal loan! Apply now to get your cash today.",2
"Lose 10 pounds in 10 days with this miracle pill! Order now and get a free bottle.",2
"Make ,000 a week working from home! No experience required. Click here to learn more.",2
"Enlarge your member naturally! Millions of satisfied customers. Try it risk-free today.",2
"Congratulations! You've been selected to receive a free ,000 Walmart gift card. Claim yours now.",2
"Your auto warranty is about to expire. Call us immediately to renew your coverage.",2
"Get cheap flights to Europe! Book now and save up to 70% on your next vacation.",2
"Are you in debt? We can help you eliminate your credit card debt in 30 days. Call now.",2
"Increase your website traffic by 10,000 visitors a day! Guaranteed results. Sign up here.",2
"Buy generic Cialis online. Discreet shipping. Lowest prices on the internet.",2
"Earn a college degree in 6 months from home! No exams, no classes. Get your diploma today.",2
"You are the lucky winner of our daily draw! Claim your brand new iPhone 15 Pro Max now.",2
"Get a free psychic reading today! Find out what your future holds. Call now for your free consultation.",2
"Invest in this new cryptocurrency and become a millionaire overnight! Guaranteed returns.",2
"Stop paying for cable TV! Get thousands of channels for free with this new device. Order now.",2
"Meet local singles in your area tonight! No credit card required to sign up. Join for free.",2
"We noticed you're looking for cheap car insurance. Get a free quote today and save hundreds.",2
"Boost your credit score by 100 points in 30 days! Guaranteed results. Click here to start.",2
"Get a free trial of our new anti-aging cream! Watch your wrinkles disappear in days.",2
"Buy Rolex replicas online! High quality, indistinguishable from the real thing. Order now.",2
"You qualify for a government grant of up to ,000! Apply now to receive your free money.",2
"Make money taking surveys online! Earn up to  per survey. Sign up for free today.",2
"Get a free sample of our new protein powder! Build muscle fast and get ripped.",2
"Download any movie or song for free! No subscription required. Click here to download our app.",2
"Your computer is running slow! Download our free registry cleaner to speed it up now.",2
"Get a free trial of our new diet pills! Burn fat fast without exercise or dieting.",2
"Buy cheap software online! Microsoft Office, Adobe Creative Suite, and more at 80% off.",2
"You've been selected to receive a free vacation to the Bahamas! Claim your prize now.",2
"Double your money in one week with our proven investment strategy! Guaranteed returns.",2
"Clearance sale! Everything must go. 90% off all items. Shop now before it's too late.",2
"Exclusive offer! Get 50% off your next purchase when you refer a friend. Click here.",2
"Flash sale! 24 hours only. Save big on all electronics. Don't miss out on these deals.",2
"Special promotion! Buy one get one free on all shoes. Shop our collection today.",2
"Limited time offer! Free shipping on all orders over . Shop now and save.",2
"Huge discounts! Up to 70% off designer clothing. Shop our online outlet store now.",2
"Final sale! All sales are final. No returns or exchanges. Shop our clearance section today.",2
"Black Friday deals are here early! Shop now and get the best prices of the year.",2
"Cyber Monday is back! Get an extra 20% off your entire order with code CYBER20. Shop now.",2
"Holiday sale! Save big on gifts for the whole family. Shop our holiday gift guide today.",2
"Summer clearance sale! Get up to 50% off all summer apparel. Shop now and stay cool.",2
"Winter sale! Save on coats, boots, and more. Shop our winter collection today and stay warm.",2
"Spring sale! Freshen up your wardrobe with our new arrivals. Shop now and save.",2
"Fall sale! Get ready for the cooler weather with our fall collection. Shop now and save.",2
"Back to school sale! Get everything you need for the new school year. Shop our supplies today.",2
"Valentine's Day sale! Show your love with a thoughtful gift. Shop our romantic collection now.",2
"Mother's Day sale! Spoil mom with a gift she'll love. Shop our special Mother's Day gifts.",2
"Father's Day sale! Show dad how much you appreciate him. Shop our Father's Day gifts today.",2
"Halloween sale! Get ready for trick-or-treating with our costumes and candy. Shop now.",2
"Thanksgiving sale! Get everything you need for your holiday feast. Shop our grocery items today.",2
"Christmas sale! Find the perfect gifts for your loved ones. Shop our holiday collection now.",2
"New Year's sale! Start the new year off right with our amazing deals. Shop now and save big.",2
"Anniversary sale! Celebrate with us and save up to 40% on select items. Shop now.",2
"Birthday sale! Treat yourself to a special discount on your big day. Shop our collection today.",2
"Wedding sale! Find the perfect gifts for the happy couple. Shop our registry items now.",2
"Baby shower sale! Get everything you need for the new arrival. Shop our baby products today.",2
"Graduation sale! Celebrate the grad with a special gift. Shop our graduation collection now.",2
"Retirement sale! Find the perfect gift to commemorate their hard work. Shop our items today.",2
"Housewarming sale! Help them settle into their new home with our special gifts. Shop now.",2
"Engagement sale! Celebrate their love with a thoughtful gift. Shop our engagement items today.",2
